2022-07-29, 18:00;Banga#;01:01;#Džiugas;Gargždų m. stadionas
2022-07-24, 17:55;Banga#;01:01;#Hegelmann;Gargždų m. stadionas
2022-07-23, 19:00;Jonava#;01:03;#Šiauliai;Jonavos m. stadionas
2022-07-23, 17:00;Panevėžys#;02:01;#K. Žalgiris;„Aukštaitijos“ stadionas
2022-07-22, 18:00;Riteriai#;02:01;#Džiugas;LFF stadionas
2022-07-17, 17:55;Džiugas#;00:01;#Banga;Telšių m. centrinis stadionas
2022-07-16, 18:00;Hegelmann#;06:00;#Jonava;LFF Kauno treniruočių centro st.
2022-07-15, 18:00;Šiauliai#;03:02;#Riteriai;Šiaulių sav. stadionas
2022-07-10, 17:55;Džiugas#;01:04;#Riteriai;Telšių m. centrinis stadionas
2022-07-09, 19:00;Sūduva#;02:01;#Šiauliai;„Hikvision“ arena
2022-07-09, 17:00;Hegelmann#;05:00;#Banga;LFF Kauno treniruočių centro st.
2022-07-03, 17:55;Šiauliai#;03:02;#Džiugas;Šiaulių sav. stadionas
2022-07-02, 20:00;Riteriai#;01:01;#K. Žalgiris;LFF stadionas
2022-07-02, 18:00;Banga#;01:02;#Panevėžys;Gargždų m. stadionas
2022-07-02, 16:00;Jonava#;00:04;#Sūduva;Jonavos m. stadionas
2022-07-01, 19:00;Žalgiris#;02:01;#Hegelmann;LFF stadionas
2022-06-26, 20:00;K. Žalgiris#;01:01;#Banga;„Kauno Žalgirio“ FA stadionas
2022-06-26, 17:55;Sūduva#;00:05;#Žalgiris;„Hikvision“ arena
2022-06-26, 15:00;Džiugas#;02:00;#Jonava;Telšių m. centrinis stadionas
2022-06-25, 19:00;Riteriai#;00:03;#Hegelmann;LFF stadionas
2022-06-25, 17:00;Panevėžys#;01:02;#Šiauliai;„Aukštaitijos“ stadionas
2022-06-22, 20:00;Žalgiris#;02:01;#Džiugas;LFF stadionas
2022-06-22, 19:00;Šiauliai#;00:01;#K. Žalgiris;Šiaulių sav. stadionas
2022-06-22, 18:00;Jonava#;00:05;#Panevėžys;Jonavos m. stadionas
2022-06-21, 20:00;Banga#;00:04;#Riteriai;Gargždų m. stadionas
2022-06-21, 18:00;Hegelmann#;02:02;#Sūduva;LFF Kauno treniruočių centro st.
2022-06-19, 17:55;Panevėžys#;00:02;#Žalgiris;„Aukštaitijos“ stadionas
2022-06-19, 15:00;K. Žalgiris#;04:00;#Jonava;„Kauno Žalgirio“ FA stadionas
2022-06-18, 19:00;Riteriai#;01:01;#Šiauliai;LFF stadionas
2022-06-18, 17:00;Džiugas#;02:02;#Sūduva;Telšių m. centrinis stadionas
2022-06-17, 18:00;Banga#;01:00;#Hegelmann;Gargždų m. stadionas
2022-05-29, 17:30;Jonava#;00:01;#Riteriai;Jonavos m. stadionas
2022-05-22, 17:30;Žalgiris#;01:02;#K. Žalgiris;LFF stadionas
2022-05-22, 15:00;Šiauliai#;01:01;#Banga;Šiaulių sav. stadionas
2022-05-21, 19:00;Sūduva#;02:01;#Panevėžys;„Hikvision“ arena
2022-05-21, 15:00;Hegelmann#;02:00;#Džiugas;LFF Kauno treniruočių centro st.
2022-05-15, 17:30;Šiauliai#;00:00;#Hegelmann;Šiaulių sav. stadionas
2022-05-15, 15:00;Panevėžys#;01:00;#Džiugas;„Aukštaitijos“ stadionas
